name,city,state_code,category,type,phone,exclude_reason
New York Replacement Parts,New York,NY,Plumbing supply store,Plumbing supply store,+1 212-534-0818,No es servicio de plomería (categoría: Plumbing supply store)
JMK Contractor,Miami Beach,FL,General contractor,General contractor,+1 305-890-4953,No es servicio de plomería (categoría: General contractor)
Revive,Miami,FL,Water damage restoration service,Water damage restoration service,+1 786-723-7750,No es servicio de plomería (categoría: Water damage restoration service)
Stern Brothers Plumbing Supply,Miami,FL,Plumbing supply store,Plumbing supply store,+1 305-552-0921,No es servicio de plomería (categoría: Plumbing supply store)
UnclogMe,Miami Beach,FL,Drainage service,Drainage service,+1 305-339-5638,No es servicio de plomería (categoría: Drainage service)
Century Wholesale,Miami,FL,Plumbing supply store,Plumbing supply store,+1 305-261-4731,No es servicio de plomería (categoría: Plumbing supply store)
Plumbing Contractors Association Apprenticeship Program,Miami,FL,Trade school,Trade school,+1 305-662-9671,No es servicio de plomería (categoría: Trade school)
Guillen's Plumbing Supply,Miami,FL,Plumbing supply store,Plumbing supply store,+1 305-226-7855,No es servicio de plomería (categoría: Plumbing supply store)
Lion Plumbing Supply Inc,Miami,FL,Plumbing supply store,Plumbing supply store,+1 954-764-4882,No es servicio de plomería (categoría: Plumbing supply store)
American Plumbing & Electrical Supply,Miami Beach,FL,Plumbing supply store,Plumbing supply store,+1 305-532-3447,No es servicio de plomería (categoría: Plumbing supply store)
Handyman - Handyvip.Com,Miami,FL,Handyman/Handywoman/Handyperson,Handyman/Handywoman/Handyperson,+1 786-956-3413,No es servicio de plomería (categoría: Handyman/Handywoman/Handyperson)
Decorator's Plumbing,Miami,FL,Plumbing supply store,Plumbing supply store,+1 305-576-0022,No es servicio de plomería (categoría: Plumbing supply store)
Miami Winsupply Plumbing Company,Miami Lakes,FL,Plumbing supply store,Plumbing supply store,+1 305-749-6207,No es servicio de plomería (categoría: Plumbing supply store)
SWCORP,Miami,FL,Home improvement store,Home improvement store,+1 866-588-8008,No es servicio de plomería (categoría: Home improvement store)
Tuma Plumbing Supply,Miami,FL,Plumbing supply store,Plumbing supply store,+1 305-261-6666,No es servicio de plomería (categoría: Plumbing supply store)
Plumbers 519 Joint Apprentice & Educational Committee,Miami Lakes,FL,Training center,Training center,+1 305-822-9411,No es servicio de plomería (categoría: Training center)
Bond Plumbing Supply - Miami,Miami,FL,Plumbing supply store,Plumbing supply store,+1 305-634-0656,No es servicio de plomería (categoría: Plumbing supply store)
Florida Plumbing,Doral,FL,Bathroom supply store,Bathroom supply store,+1 305-591-9300,No es servicio de plomería (categoría: Bathroom supply store)
Miami Riches,Miami,FL,Property management company,Property management company,+1 305-600-3198,No es servicio de plomería (categoría: Property management company)
Colmar Construction Corp,Coral Gables,FL,General contractor,General contractor,+1 786-686-8639,No es servicio de plomería (categoría: General contractor)
Constructstar,Miami,FL,Remodeler,Remodeler,+1 305-930-4810,No es servicio de plomería (categoría: Remodeler)
Express Mold Removal Miami,Miami,FL,Water damage restoration service,Water damage restoration service,+1 305-564-4199,No es servicio de plomería (categoría: Water damage restoration service)
Cadisa Inc. Miami Property Management Condo HOA,Miami,FL,Property management company,Property management company,+1 305-860-2935,No es servicio de plomería (categoría: Property management company)
Ace Plumbing Supply,Dorchester,MA,Plumbing supply store,Plumbing supply store,+1 617-436-0213,No es servicio de plomería (categoría: Plumbing supply store)
Boston Drain Co & Diagnostics Inc.,Dorchester,MA,Drainage service,Drainage service,+1 617-265-8888,No es servicio de plomería (categoría: Drainage service)
Plumbers & Gasfitters UA Local 12,Dorchester,MA,Labor union,Labor union,+1 617-288-6200,No es servicio de plomería (categoría: Labor union)
KOHLER Store by Supply New England,Boston,MA,Bathroom supply store,Bathroom supply store,+1 617-202-0068,No es servicio de plomería (categoría: Bathroom supply store)
Presidential HVAC,Boston,MA,HVAC contractor,HVAC contractor,+1 857-895-1220,No es servicio de plomería (categoría: HVAC contractor)
Economy Plumbing & Heating Supply Co,Mattapan,MA,Plumbing supply store,Plumbing supply store,+1 617-433-1200,No es servicio de plomería (categoría: Plumbing supply store)
Ellsworth Supply Co Inc,Dorchester,MA,Plumbing supply store,Plumbing supply store,,No es servicio de plomería (categoría: Plumbing supply store)
Metropolitan Pipe & Supply Co.,Somerville,MA,Plumbing supply store,Plumbing supply store,+1 617-492-6400,No es servicio de plomería (categoría: Plumbing supply store)
"J.M. Mechanical Services, Inc",East Boston,MA,Heating contractor,Heating contractor,+1 617-561-4733,No es servicio de plomería (categoría: Heating contractor)
A Hohmann & Co Inc,Dorchester,MA,Heating contractor,Heating contractor,+1 617-282-4300,No es servicio de plomería (categoría: Heating contractor)
F.W. Webb Company - Boston,Boston,MA,Wholesaler,Wholesaler,+1 617-227-2240,No es servicio de plomería (categoría: Wholesaler)
Doran Mechanical,Brookline,MA,Mechanical contractor,Mechanical contractor,+1 617-277-9741,No es servicio de plomería (categoría: Mechanical contractor)
Ferguson Plumbing Supply,Brighton,MA,Plumbing supply store,Plumbing supply store,+1 617-562-5146,No es servicio de plomería (categoría: Plumbing supply store)
Republic Plumbing Supply Co,Brookline,MA,Plumbing supply store,Plumbing supply store,+1 617-566-2010,No es servicio de plomería (categoría: Plumbing supply store)
Plumbers' Supply Co Dorchester MA,Dorchester,MA,Plumbing supply store,Plumbing supply store,+1 617-506-8453,No es servicio de plomería (categoría: Plumbing supply store)
"Allston Contractors, Inc.",Allston,MA,General contractor,General contractor,+1 617-202-5092,No es servicio de plomería (categoría: General contractor)
Irving Water Heater Repair,Irving,TX,Heating contractor,Heating contractor,+1 972-646-0907,No es servicio de plomería (categoría: Heating contractor)
SOS WaterHeating Irving,Irving,TX,Contractor,Contractor,+1 945-292-2258,No es servicio de plomería (categoría: Contractor)
Ferguson Plumbing Supply,Irving,TX,Plumbing supply store,Plumbing supply store,+1 972-252-7490,No es servicio de plomería (categoría: Plumbing supply store)
.plumberirvingtexas.,Irving,TX,Home help,Home help,+1 469-909-0161,No es servicio de plomería (categoría: Home help)
Apex Supply Company,Irving,TX,Plumbing supply store,Plumbing supply store,+1 972-790-1550,No es servicio de plomería (categoría: Plumbing supply store)
HFC Services LLC,Irving,TX,Utility contractor,Utility contractor,+1 214-535-2876,No es servicio de plomería (categoría: Utility contractor)
Van Marcke Plumbing Supply,Farmers Branch,TX,Plumbing supply store,Plumbing supply store,+1 469-291-5040,No es servicio de plomería (categoría: Plumbing supply store)
